"","Jour","Entreprises ","PME/PMI","Professionnels","Résidentiels","Total"
"372",2022-05-15,"8894474280.0",1538300528,2576358,107046451,26873388370
"373",2022-05-16,"12951094701.0",2139501182,2620780,96914452,32197560751
"374",2022-05-18,"13996842823.0",2253624573,2674776,101284034,33806240962
"375",2022-05-21,"10105339928.0",1789592375,2683822,104096018,28922421573
"376",2022-05-27,"10644225210.0",1867081769,2624257,99388078,29697360603
"377",2022-06-03,"13304029631.0",2177680556,2717688,98749545,33048134879
"378",2022-06-27,"12913713637.0",2111556069,2415547,101310779,32248684270
"379",2022-06-28,"13674004697.0",2167583409,2469639,97767397,33041056573
"380",2022-07-03,"9154644196.0",1591708987,2367272,108994817,27167622488
"381",2022-07-28,"13435508941.0",2289698409,2739720,99000004,33376668794
"382",2022-08-02,"12565205022.0",2300287787,2813582,103224392,32990768631
"383",2022-08-10,"11899141689.0",2206456340,2936260,104766937,31829064400
"384",2022-08-20,"9336084386.0",1757518023,3025627,103561885,27297204248
"385",2022-09-04,"9079346982.0",1583026942,3393380,114840321,26933010259
"386",2022-09-12,"13067046793.0",2160350701,3633470,104152665,32027174839
"387",2022-09-14,"13847985762.0",2192147576,3836466,109509964,33166389344
"388",2022-10-10,"12468754276.0",2079175328,4437994,123343794,32749514599
